epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,879.628,2.88601,3.4619,1.50851,0.51528,0.13152,0.04701,0.01439,2.58934,3.02753,1.4195,0.000301635,0.000301635,0.000301635
2,1747.3,2.65578,2.67397,1.36577,0.40328,0.13094,0.07967,0.02565,2.51502,2.68864,1.41536,0.000598649,0.000598649,0.000598649
3,2653.36,2.59831,2.51471,1.358,0.27914,0.16108,0.09867,0.03136,2.476,2.5675,1.40967,0.000889664,0.000889664,0.000889664
4,3543.78,2.56399,2.41425,1.35528,0.46589,0.20484,0.12167,0.03923,2.42729,2.43247,1.44645,0.000882003,0.000882003,0.000882003
5,4437.22,2.52099,2.39442,1.34657,0.43607,0.20834,0.11388,0.03764,2.42883,2.57228,1.40591,0.000873004,0.000873004,0.000873004
6,5301.66,2.51125,2.30168,1.33101,0.33841,0.23568,0.14509,0.04846,2.38545,2.31465,1.39927,0.000864004,0.000864004,0.000864004
7,6050.72,2.50058,2.26625,1.32832,0.43792,0.22743,0.1401,0.04515,2.39742,2.33688,1.38377,0.000855005,0.000855005,0.000855005
8,6874.66,2.49041,2.25634,1.32962,0.36223,0.23671,0.15404,0.05156,2.35158,2.28889,1.36544,0.000846006,0.000846006,0.000846006
9,7702.92,2.47543,2.20726,1.32577,0.35635,0.24027,0.16081,0.05348,2.37215,2.20471,1.42753,0.000837007,0.000837007,0.000837007
10,8534.06,2.45366,2.18963,1.31702,0.39013,0.22696,0.1651,0.05363,2.37383,2.25504,1.36757,0.000828008,0.000828008,0.000828008
11,9361.91,2.45341,2.15916,1.31624,0.45175,0.2325,0.1881,0.06384,2.34643,2.19282,1.38105,0.000819009,0.000819009,0.000819009
12,10166.1,2.44425,2.17311,1.3126,0.34498,0.2351,0.16588,0.05628,2.31871,2.22093,1.36842,0.00081001,0.00081001,0.00081001
13,10708.9,2.42939,2.16673,1.32169,0.42994,0.25363,0.19502,0.06379,2.32135,2.20878,1.36036,0.000801011,0.000801011,0.000801011
14,11339,2.4271,2.1466,1.31371,0.35263,0.22681,0.17092,0.057,2.32064,2.21332,1.3792,0.000792012,0.000792012,0.000792012
