epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7502,2.50208,5.07652,1.48238,0.00946,0.24739,0.02308,0.01221,2.50659,3.95762,1.63234,0.00016369,0.00016369,0.00016369
2,106.863,2.38178,4.0227,1.4159,0.42456,0.17095,0.11923,0.04957,2.45061,2.84339,1.62207,0.000323816,0.000323816,0.000323816
3,171.737,2.38366,3.24761,1.43432,0.28058,0.24719,0.18847,0.07534,2.36067,2.50885,1.5535,0.000477342,0.000477342,0.000477342
4,236.194,2.34415,2.94199,1.43637,0.35095,0.31778,0.21583,0.09544,2.2856,2.24865,1.53608,0.0004703,0.0004703,0.0004703
5,305.718,2.28848,2.75542,1.39829,0.36703,0.2706,0.23031,0.09208,2.21654,2.21914,1.49777,0.0004604,0.0004604,0.0004604
6,374.201,2.20932,2.62619,1.34264,0.29866,0.33456,0.27437,0.11256,2.24394,2.177,1.47533,0.0004505,0.0004505,0.0004505
7,444.198,2.21395,2.51699,1.3516,0.35001,0.33076,0.2566,0.11109,2.24291,2.14486,1.51046,0.0004406,0.0004406,0.0004406
8,510.142,2.20061,2.44179,1.33381,0.35575,0.32333,0.3136,0.11879,2.27007,2.10828,1.4699,0.0004307,0.0004307,0.0004307
9,571.991,2.17781,2.37142,1.31995,0.3142,0.31865,0.30177,0.12921,2.16342,2.00683,1.42178,0.0004208,0.0004208,0.0004208
10,631.709,2.19526,2.3377,1.34623,0.46912,0.34507,0.34327,0.1449,2.1019,1.99262,1.40001,0.0004109,0.0004109,0.0004109
11,690.913,2.16972,2.30918,1.33361,0.30799,0.32732,0.32362,0.13758,2.15484,2.0218,1.44961,0.000401,0.000401,0.000401
12,735.964,2.12888,2.23539,1.31101,0.3393,0.37616,0.36359,0.1593,2.09957,1.96862,1.41122,0.0003911,0.0003911,0.0003911
13,768.444,2.11042,2.18042,1.29815,0.36653,0.41997,0.35912,0.14421,2.1216,1.96617,1.43442,0.0003812,0.0003812,0.0003812
14,801.351,2.12118,2.16001,1.31046,0.38795,0.28566,0.33234,0.14187,2.077,1.98494,1.41862,0.0003713,0.0003713,0.0003713
15,833.339,2.10602,2.10401,1.30003,0.3712,0.38076,0.34695,0.15015,2.17627,1.97279,1.45948,0.0003614,0.0003614,0.0003614
16,866.248,2.09137,2.087,1.31222,0.37307,0.42296,0.37011,0.15989,2.09628,1.92435,1.38478,0.0003515,0.0003515,0.0003515
17,898.626,2.0744,2.09709,1.28794,0.37738,0.41296,0.3804,0.15925,2.11117,1.87213,1.40579,0.0003416,0.0003416,0.0003416
18,932.083,2.06568,2.01769,1.28571,0.40669,0.38561,0.37079,0.16092,2.13644,1.96913,1.4298,0.0003317,0.0003317,0.0003317
19,965.138,2.05718,2.05317,1.30059,0.40886,0.39193,0.38082,0.16598,2.09048,1.85323,1.4086,0.0003218,0.0003218,0.0003218
20,999.058,2.0437,1.99189,1.27733,0.47589,0.34217,0.39267,0.16916,2.10105,1.87802,1.38969,0.0003119,0.0003119,0.0003119
21,1032.44,2.02351,1.95946,1.25966,0.41332,0.34307,0.39351,0.16614,2.0831,1.86839,1.40318,0.000302,0.000302,0.000302
22,1065.27,2.04229,1.97608,1.27498,0.44013,0.33902,0.3834,0.15987,2.09608,1.90785,1.41218,0.0002921,0.0002921,0.0002921
23,1097.04,2.04215,1.97643,1.29201,0.40329,0.37904,0.38215,0.17063,2.03676,1.86289,1.35864,0.0002822,0.0002822,0.0002822
24,1129,2.03562,1.90355,1.26145,0.41468,0.37555,0.39615,0.18128,2.0835,1.89147,1.37339,0.0002723,0.0002723,0.0002723
25,1161.02,2.02743,1.9134,1.26739,0.46005,0.35336,0.38263,0.16799,2.07003,1.87702,1.36536,0.0002624,0.0002624,0.0002624
26,1193.25,2.01186,1.86909,1.24802,0.47956,0.36634,0.4028,0.17087,2.08929,1.84958,1.37261,0.0002525,0.0002525,0.0002525
27,1225.62,2.01981,1.90352,1.27436,0.50922,0.34735,0.39458,0.17303,2.10661,1.85055,1.39248,0.0002426,0.0002426,0.0002426
28,1257.81,1.9839,1.81479,1.25131,0.4564,0.37505,0.39935,0.17534,2.10893,1.83499,1.40048,0.0002327,0.0002327,0.0002327
29,1289.54,1.98557,1.83491,1.2507,0.44905,0.33119,0.38791,0.16919,2.06883,1.90272,1.36178,0.0002228,0.0002228,0.0002228
30,1322.66,1.97561,1.81849,1.26144,0.49536,0.33538,0.38512,0.16949,2.11629,1.90752,1.37869,0.0002129,0.0002129,0.0002129
31,1354.97,1.98688,1.81028,1.24743,0.45673,0.4149,0.41011,0.18085,2.09081,1.80967,1.38211,0.000203,0.000203,0.000203
32,1387.27,1.96852,1.80232,1.24735,0.42386,0.39874,0.38436,0.17399,2.06831,1.86848,1.38644,0.0001931,0.0001931,0.0001931
33,1419.08,1.95175,1.77371,1.2377,0.39609,0.44165,0.40097,0.17888,2.05875,1.82944,1.37476,0.0001832,0.0001832,0.0001832
34,1451.89,1.94423,1.78095,1.23029,0.48249,0.38111,0.39798,0.17883,2.06129,1.85156,1.37095,0.0001733,0.0001733,0.0001733
35,1483.89,1.95134,1.73982,1.24218,0.50932,0.36392,0.40701,0.17577,2.07573,1.83127,1.36373,0.0001634,0.0001634,0.0001634
36,1516.23,1.95211,1.74559,1.23062,0.50246,0.37884,0.39992,0.17428,2.04699,1.87065,1.35778,0.0001535,0.0001535,0.0001535
37,1547.53,1.92663,1.71844,1.2257,0.48281,0.36808,0.39428,0.17334,2.04472,1.84461,1.37326,0.0001436,0.0001436,0.0001436
38,1580.23,1.92818,1.71738,1.22955,0.45567,0.36717,0.41342,0.17768,2.05107,1.8259,1.37486,0.0001337,0.0001337,0.0001337
39,1612.69,1.9434,1.71553,1.23328,0.42233,0.44589,0.41985,0.17737,2.05622,1.80719,1.36114,0.0001238,0.0001238,0.0001238
40,1645.35,1.90673,1.68177,1.22422,0.43382,0.42114,0.4062,0.17371,2.03464,1.80944,1.36746,0.0001139,0.0001139,0.0001139
41,1675.12,1.93608,1.80328,1.26191,0.42155,0.42076,0.39848,0.17833,2.08689,1.82217,1.39156,0.000104,0.000104,0.000104
42,1705.52,1.90809,1.69833,1.25375,0.40394,0.44315,0.38912,0.17011,2.08617,1.81429,1.40079,9.41e-05,9.41e-05,9.41e-05
43,1735.42,1.89795,1.68133,1.25858,0.42634,0.43616,0.41816,0.1835,2.05547,1.78695,1.37126,8.42e-05,8.42e-05,8.42e-05
44,1765.67,1.90093,1.69613,1.26063,0.43023,0.43385,0.40521,0.18134,2.06274,1.776,1.37132,7.43e-05,7.43e-05,7.43e-05
45,1795.72,1.88338,1.66232,1.24651,0.43722,0.4622,0.4098,0.18049,2.05218,1.81752,1.36999,6.44e-05,6.44e-05,6.44e-05
46,1825.44,1.88752,1.64952,1.24396,0.4512,0.44889,0.40979,0.17799,2.05847,1.78822,1.3583,5.45e-05,5.45e-05,5.45e-05
47,1855.33,1.87307,1.64316,1.25231,0.42719,0.44153,0.41461,0.17751,2.06448,1.78065,1.36183,4.46e-05,4.46e-05,4.46e-05
48,1886.06,1.88249,1.64649,1.24385,0.45217,0.42319,0.4104,0.17704,2.06973,1.78896,1.36088,3.47e-05,3.47e-05,3.47e-05
49,1916.2,1.86916,1.64024,1.24718,0.4732,0.41856,0.40517,0.17751,2.07248,1.79805,1.35841,2.48e-05,2.48e-05,2.48e-05
50,1945.51,1.85075,1.62718,1.23908,0.46158,0.42589,0.40898,0.17835,2.0583,1.78662,1.35706,1.49e-05,1.49e-05,1.49e-05
