epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9026,2.28809,2.40875,1.45838,0.28996,0.26972,0.18956,0.08141,2.3175,2.81091,1.55885,0.0675893,0.000327381,0.000327381
2,106.146,2.28209,2.3749,1.39798,0.29784,0.40518,0.29579,0.10936,2.22802,2.32106,1.48969,0.034589,0.000660385,0.000660385
3,137.176,2.31287,2.40498,1.40364,0.31665,0.33641,0.30588,0.12998,2.19676,2.24098,1.54054,0.0015873,0.000992067,0.000992067
4,171.798,2.33068,2.40521,1.45674,0.28918,0.37659,0.27993,0.1114,2.13878,2.17096,1.44449,0.00099552,0.00099552,0.00099552
5,206.331,2.30386,2.3958,1.41131,0.37722,0.30321,0.31526,0.12757,2.2046,2.07096,1.4834,0.000992045,0.000992045,0.000992045
6,242.714,2.31196,2.40203,1.4195,0.34015,0.33902,0.29854,0.12325,2.17032,2.14516,1.43113,0.000987589,0.000987589,0.000987589
7,277.406,2.2562,2.34449,1.39334,0.38811,0.33213,0.3135,0.13298,2.14629,2.10069,1.46153,0.000982162,0.000982162,0.000982162
8,316.125,2.30721,2.38133,1.4226,0.45813,0.33604,0.32423,0.14142,2.17694,1.99533,1.42101,0.000975773,0.000975773,0.000975773
9,356.705,2.27396,2.31435,1.38146,0.41976,0.37197,0.29304,0.11306,2.21471,2.33913,1.42571,0.000968436,0.000968436,0.000968436
10,395.657,2.28241,2.32104,1.38271,0.36521,0.39633,0.3268,0.14042,2.07854,2.04591,1.4179,0.000960166,0.000960166,0.000960166
11,432.393,2.26635,2.32866,1.38136,0.36374,0.31347,0.26735,0.11964,2.10182,2.09027,1.42698,0.00095098,0.00095098,0.00095098
12,468.243,2.24344,2.22958,1.36169,0.39428,0.34289,0.33759,0.14976,2.16503,2.00188,1.44541,0.000940895,0.000940895,0.000940895
13,503.452,2.30183,2.27383,1.4082,0.40495,0.38194,0.34134,0.1491,2.1036,2.01823,1.45865,0.000929932,0.000929932,0.000929932
14,539.382,2.28942,2.28997,1.3772,0.45601,0.3744,0.30468,0.12986,2.19969,2.2197,1.46043,0.000918114,0.000918114,0.000918114
15,574.92,2.25956,2.22961,1.40355,0.42443,0.38767,0.34936,0.14335,2.1367,2.00258,1.4454,0.000905463,0.000905463,0.000905463
16,611.01,2.2447,2.23401,1.40329,0.41837,0.37283,0.29058,0.13062,2.05119,2.01214,1.39579,0.000892007,0.000892007,0.000892007
17,646.704,2.27542,2.26686,1.38937,0.39319,0.3934,0.30195,0.1289,2.12471,1.99192,1.42568,0.00087777,0.00087777,0.00087777
18,682.506,2.22854,2.25121,1.38958,0.49188,0.31277,0.33658,0.14932,2.05833,2.02563,1.3952,0.000862783,0.000862783,0.000862783
19,718.558,2.24561,2.24004,1.36903,0.43265,0.27489,0.29574,0.12758,2.11016,2.07286,1.46745,0.000847076,0.000847076,0.000847076
20,754.65,2.24494,2.20411,1.38361,0.47792,0.30413,0.35186,0.15508,2.08991,2.02085,1.38921,0.00083068,0.00083068,0.00083068
21,790.856,2.23366,2.19252,1.37643,0.45308,0.31012,0.32267,0.13771,2.05782,2.0019,1.39273,0.000813627,0.000813627,0.000813627
22,827.222,2.24346,2.193,1.37592,0.46576,0.32402,0.31408,0.12824,2.11581,2.07127,1.42902,0.000795954,0.000795954,0.000795954
23,862.436,2.20339,2.21867,1.38164,0.44682,0.32713,0.33374,0.14643,2.04329,1.94883,1.4125,0.000777694,0.000777694,0.000777694
24,899,2.20649,2.16448,1.37954,0.44019,0.35853,0.33508,0.14801,2.0656,1.94611,1.41905,0.000758885,0.000758885,0.000758885
25,933.42,2.20592,2.14571,1.37351,0.49055,0.37403,0.34668,0.15309,2.11571,1.88956,1.41221,0.000739565,0.000739565,0.000739565
26,969.521,2.14338,2.10745,1.33751,0.46747,0.35903,0.33999,0.14735,2.06806,1.92881,1.38068,0.000719772,0.000719772,0.000719772
27,1005.75,2.20979,2.14957,1.37479,0.49618,0.32032,0.33077,0.14403,2.04219,1.89034,1.39403,0.000699547,0.000699547,0.000699547
28,1042,2.16196,2.11498,1.33327,0.48041,0.40108,0.35261,0.15689,2.06463,1.97285,1.38032,0.000678931,0.000678931,0.000678931
29,1077.95,2.17638,2.12353,1.36888,0.52058,0.3707,0.38515,0.16567,2.02262,1.8645,1.37752,0.000657963,0.000657963,0.000657963
30,1113.94,2.15275,2.05715,1.34537,0.4857,0.40428,0.40338,0.16537,2.06768,1.84051,1.40327,0.000636688,0.000636688,0.000636688
31,1148.44,2.14239,2.0566,1.31836,0.52713,0.37644,0.38085,0.17282,1.99982,1.91652,1.35368,0.000615148,0.000615148,0.000615148
32,1184.25,2.13628,2.05544,1.33398,0.57478,0.38738,0.40202,0.16507,2.04891,1.86001,1.37623,0.000593386,0.000593386,0.000593386
33,1219.18,2.11524,2.01481,1.31911,0.48548,0.38791,0.36608,0.16545,2.02529,1.92932,1.35802,0.000571445,0.000571445,0.000571445
34,1254.9,2.14603,2.06588,1.30779,0.50314,0.39423,0.39458,0.16742,2.05727,1.90625,1.38196,0.000549371,0.000549371,0.000549371
