epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2273.46,2.50894,3.31695,1.80314,0.27126,0.22931,0.18316,0.07812,2.35534,2.57715,1.74905,0.00333308,0.00333308,0.00333308
2,4429.61,2.39927,2.81722,1.68272,0.27768,0.2588,0.20943,0.09406,2.28325,2.482,1.69061,0.00655642,0.00655642,0.00655642
3,6570.91,2.41086,2.83908,1.69022,0.31832,0.25265,0.21406,0.0984,2.25243,2.46135,1.70486,0.00966976,0.00966976,0.00966976
4,8706.95,2.40128,2.79401,1.6865,0.31483,0.28688,0.24074,0.11312,2.19485,2.35657,1.64784,0.009505,0.009505,0.009505
5,10839.2,2.32707,2.62049,1.6378,0.34889,0.31599,0.27506,0.13465,2.13118,2.2433,1.6098,0.00934,0.00934,0.00934
6,12971.1,2.27615,2.50409,1.60406,0.37862,0.33879,0.30554,0.15658,2.0728,2.13429,1.56331,0.009175,0.009175,0.009175
7,15101.4,2.23276,2.41625,1.57617,0.41148,0.35377,0.33316,0.17451,2.02263,2.05164,1.5365,0.00901,0.00901,0.00901
8,17238.7,2.19821,2.34639,1.55867,0.43483,0.37057,0.35134,0.18905,1.97656,1.97619,1.51661,0.008845,0.008845,0.008845
9,19378.9,2.16823,2.28628,1.53949,0.45974,0.38353,0.37387,0.20322,1.94416,1.91063,1.49624,0.00868,0.00868,0.00868
10,21522.7,2.1415,2.23087,1.52343,0.47457,0.39381,0.39011,0.21324,1.91194,1.86372,1.47302,0.008515,0.008515,0.008515
11,23673.4,2.11455,2.18229,1.50614,0.48806,0.40614,0.40491,0.22344,1.88289,1.81365,1.45586,0.00835,0.00835,0.00835
12,25826.9,2.09469,2.14086,1.49279,0.50554,0.41602,0.41899,0.23296,1.85867,1.76966,1.44161,0.008185,0.008185,0.008185
13,27989.2,2.07139,2.09363,1.47816,0.5166,0.42508,0.43143,0.24139,1.83631,1.73767,1.42855,0.00802,0.00802,0.00802
14,30159.3,2.05036,2.04986,1.46584,0.52881,0.43227,0.44269,0.24927,1.81634,1.70629,1.41593,0.007855,0.007855,0.007855
15,32330.8,2.03136,2.01698,1.45439,0.53764,0.43888,0.45241,0.25575,1.79899,1.67687,1.40521,0.00769,0.00769,0.00769
16,34510.3,2.01362,1.98112,1.44438,0.5496,0.44374,0.46093,0.26184,1.78346,1.65225,1.395,0.007525,0.007525,0.007525
17,36699,2.00128,1.95573,1.43612,0.55664,0.44888,0.46858,0.26738,1.76928,1.63029,1.38637,0.00736,0.00736,0.00736
18,39591.5,1.98843,1.92614,1.42782,0.56456,0.45358,0.47572,0.27239,1.75631,1.6108,1.37826,0.007195,0.007195,0.007195
19,42019.9,1.97243,1.89221,1.41906,0.56879,0.46037,0.48256,0.27722,1.74397,1.59139,1.37074,0.00703,0.00703,0.00703
20,46005.1,1.95488,1.86422,1.41187,0.5748,0.46559,0.48939,0.2819,1.73239,1.57268,1.36355,0.006865,0.006865,0.006865
21,49975.6,1.94491,1.83384,1.39947,0.58119,0.47061,0.49605,0.28656,1.72104,1.55424,1.35632,0.0067,0.0067,0.0067
22,53527.3,1.93079,1.8117,1.39416,0.58751,0.47491,0.50272,0.29138,1.70946,1.53658,1.34924,0.006535,0.006535,0.006535
23,55669.8,1.91246,1.78192,1.38358,0.59293,0.48019,0.50931,0.29636,1.69778,1.51856,1.34238,0.00637,0.00637,0.00637
24,57900.5,1.90599,1.76459,1.37525,0.5996,0.485,0.51554,0.30083,1.6866,1.50072,1.33561,0.006205,0.006205,0.006205
25,61882.6,1.89267,1.74109,1.37004,0.60641,0.48936,0.52235,0.30576,1.67578,1.48282,1.32871,0.00604,0.00604,0.00604
26,65841,1.8819,1.71917,1.36354,0.61326,0.49377,0.52907,0.31069,1.66495,1.46493,1.3219,0.005875,0.005875,0.005875
27,69867.1,1.87044,1.69911,1.3578,0.61869,0.49918,0.53581,0.31565,1.65369,1.44663,1.31491,0.00571,0.00571,0.00571
